,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/4iJfYYoQzZcONB9hNzg0J0wWyPH.jpg,"[28, 12, 878]",11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,57.822,/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,1977-05-25,Star Wars,False,8.2,12033
1,False,/ppixBaZwLr6dJF6mlWZoz2ALupR.jpg,"[878, 18]",840,en,Close Encounters of the Third Kind,"After an encounter with UFOs, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen.",14.071,/3Av8ZPiMrxFq9XiOjZl0tkoq9Oo.jpg,1977-11-16,Close Encounters of the Third Kind,False,7.4,2149
2,False,/gqTwlRkQ2FBCeeq6JxzCj4ctjHF.jpg,"[18, 10402, 35]",11009,en,Saturday Night Fever,"Tony Manero is a Brooklyn paint-store clerk who'd give anything to break out of his dead-end existence. In life, Tony is a peasant; on the disco dance floor, he's a king. As the soundtrack plays one Bee Gees hit after another, white-suited Tony struts his stuff amidst flashing lights and sweaty, undulating bodies. Tony's class aspirations are mirrored in his relationship with his dance partner, a secretary eager to move into the glamorous world of Manhattan.",11.239,/12Ol9OqHzpXzIp5MKfw8dDkm8kf.jpg,1977-12-16,Saturday Night Fever,False,6.7,859
3,False,/2tCAEhE2rPONBmUOs4W73AlBWYg.jpg,"[28, 12, 53]",691,en,The Spy Who Loved Me,Russian and British submarines with nuclear missiles on board both vanish from sight without a trace. England and Russia both blame each other as James Bond tries to solve the riddle of the disappearing ships. But the KGB also has an agent on the case.,21.375,/vYMgDqQDpqHDhz3enGkwBmTs7p7.jpg,1977-07-07,The Spy Who Loved Me,False,6.7,891
4,False,/hzjX8eA4u7tGz4d4kjTnsW4RNWK.jpg,"[28, 12, 35]",11006,en,Smokey and the Bandit,"A race car driver tries to transport an illegal beer shipment from Texas to Atlanta in under 28 hours, picking up a reluctant bride-to-be on the way.",12.523,/5uTIEUSBVzmEZ8TnFEZbCCOVHPj.jpg,1977-05-27,Smokey and the Bandit,False,6.8,339
5,False,/z7QV3TZLCjNjDZpSH8N4uo7toNm.jpg,"[35, 10749]",14741,en,The Goodbye Girl,"Paula knows that, in romance, actors all follow the same stage instruction—Exit. Without warning, her actor boyfriend splits for a movie role, and sublet their Manhattan apartment to Elliot, an actor.",5.351,/kFr7QpUEiaRHCoOvgZ7CPNEoy6d.jpg,1977-11-30,The Goodbye Girl,False,7.0,65
6,False,/bHRboVSfqYzILQSm4o7lPG031HT.jpg,"[12, 16, 14, 10751]",11319,en,The Rescuers,"What can two little mice possibly do to save an orphan girl who's fallen into evil hands? With a little cooperation and faith in oneself, anything is possible! As members of the mouse-run International Rescue Aid Society, Bernard and Miss Bianca respond to orphan Penny's call for help. The two mice search for clues with the help of an old cat named Rufus.",14.478,/49rGpB2x6AFB83SC4IBl9foRIGp.jpg,1983-12-16,The Rescuers,False,6.7,1407
7,False,/qHryw7hcO1Gcd7xQmJfDYPTgNLX.jpg,"[18, 36, 10752]",5902,en,A Bridge Too Far,"A Bridge Too Far tells the story of Operation Market Garden, the failed attempt by the allies to end the war quickly by securing three bridges in Holland and allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German Panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine, the titular 'bridge too far') was doomed to failure.",12.962,/ormdFwSHGVgsWdrzP5pRPaA6nme.jpg,1977-06-15,A Bridge Too Far,False,7.2,358
8,False,/3iEP0EnA6nffr5WRZgtjI7PnNYk.jpg,"[14, 35]",24032,en,"Oh, God!","When God appears to an assistant grocery manager as a good natured old man, the Almighty selects him as his messenger for the modern world.",4.024,/hUbs7igJjefhwXEGFo0DGzugLBm.jpg,1977-10-07,"Oh, God!",False,6.5,50
9,False,/8iNt5LGxpX9XeNWJgjx17xfTT7u.jpg,"[35, 18, 10749]",703,en,Annie Hall,New York comedian Alvy Singer falls in love with the ditsy Annie Hall.,12.165,/bK9bLXwxWuXX5mbq75PZqjvAtfG.jpg,1977-04-20,Annie Hall,False,7.8,2104
10,False,/kGws2C41ki97hFUkwCdpywPeW5S.jpg,"[35, 10402]",12535,en,High Anxiety,"Dr. Richard Thorndyke arrives as new administrator of the Psychoneurotic Institute for the Very, VERY Nervous to discover some suspicious goings-on. When he's framed for murder, Dr. Thorndyke must confront his own psychiatric condition, ""high anxiety,"" in order to clear his name.",7.336,/hJwcsCzbIGt9G2V3E7lcdxxfIea.jpg,1977-12-25,High Anxiety,False,6.5,150
11,False,/sABEfSEb3ZTu8eO0q20sixezbVY.jpg,"[18, 14, 27, 53]",11586,en,Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?",9.657,/jIVYbxsp6y80wyfLlnKkRc9rI6Q.jpg,1977-06-17,Exorcist II: The Heretic,False,4.5,273
12,False,/wioNLmjqP9T6KoyLpg4A8M5gywm.jpg,"[28, 12, 18, 53]",7227,en,Airport '77,Flight 23 has crashed in the Bermuda Triangle while taking VIPs and valuable art to Philip Stevens new museum. But when hijackers take off the plane and knock everyone out with sleeping gas the plane crashes in the sea. The passengers survive but a small hole at the front is flooding the plane and 2 daring rescues must be put into action because everyone is trapped 200 feet underwater.,7.889,/m9b3frZR0Wu8I3ayN3QPrxfZMvC.jpg,1977-03-11,Airport '77,False,5.7,120
13,False,/rI518OaXb00F1nLDx6RLS7pwHLw.jpg,"[18, 35]",11590,en,Slap Shot,"To build up attendance at their games, the management of a struggling minor-league hockey team signs up the Hanson Brothers, three hard-charging players whose job is to demolish the opposition.",7.562,/sI0s4FikzWz9iDlyadROYtn521j.jpg,1977-02-25,Slap Shot,False,7.1,172
14,False,/AqLSm9sl2Oe46XvqhoRBhKI3wXi.jpg,"[18, 28, 80, 53]",17689,en,The Gauntlet,Phoenix cop Ben Shockley is well on his way to becoming a derelict when he is assigned to transport a witness named Gus Mally from Vegas. Mally turns out to be a belligerent prostitute with mob ties and incriminating information regarding a high-placed figure.,7.753,/vojzvKay2QT2eGwvfGBkFfJQlcj.jpg,1977-12-21,The Gauntlet,False,6.6,217
15,False,/cIlLMj1YFlVj2xCfKEcgZ38p3Df.jpg,[27],12262,en,The Hills Have Eyes,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.",7.102,/5vt8y3X9C77r4sTFqH7D5tqAjGL.jpg,1977-07-22,The Hills Have Eyes,False,6.1,352
16,False,/aCXqn0t7M3cJMlVLsiIE1hDWszQ.jpg,"[18, 53]",37749,en,Looking for Mr. Goodbar,"A dedicated schoolteacher spends her nights cruising bars, looking for abusive men with whom she can engage in progressively violent sexual encounters.",1.839,/9s4ZTveYadZ2xBXPHJqgr6xKVj0.jpg,1977-10-19,Looking for Mr. Goodbar,False,6.8,40
17,False,/v89znpPuYKWGqyyfoSSMJ7qNOae.jpg,"[35, 10751]",19050,en,The Bad News Bears in Breaking Training,"Sentimental sequel film finds the Bears, somehow, the little league champions of California. As a result, the team is invited to play a between-games exhibition at the Houston Astrodome with the local champs, the Toros. Kelly Leak, the Bears' star player, decides to rejoin the team and go with them to Houston to make amends with his estranged father, Mike",4.747,/vwz4DY71OHjzPPJ8o1vhVIfzM0b.jpg,1977-07-08,The Bad News Bears in Breaking Training,False,6.0,23
18,False,/8cF0sy0YZXVJuBKYn4cuuWn816O.jpg,"[27, 878]",30315,en,Kingdom of the Spiders,"Investigating the mysterious deaths of a number of farm animals, vet Rack Hansen discovers that his town lies in the path of hoards of migrating tarantulas. Before he can take action, the streets are overrun by killer spiders, trapping a small group of townsfolk in a remote hotel.",3.996,/hMGcbNev4xTDWxQjMoiAwzUEioC.jpg,1977-08-24,Kingdom of the Spiders,False,5.5,50
19,False,/oTBxvPzfn2EtTV7b7FGGmXxJqP3.jpg,"[18, 10402, 10749]",12637,en,"New York, New York","An egotistical saxophone player and a young singer meet on V-J Day and embark upon a strained and rocky romance, even as their careers begin a long uphill climb.",8.2,/dIOJNDtWmAMQgxB1wPAhBtM96C9.jpg,1977-06-21,"New York, New York",False,6.5,183
20,False,/nS0rEXPbkHI449SF6R4WUQvTVxE.jpg,"[28, 12, 878]",1924,en,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",18.805,/rLTdj7oB9oxsYwuweeglWRzRng7.jpg,1978-12-14,Superman,False,7.0,1970
21,False,/pUVaVyWFBRCRSuu6M0rFcyqAwQx.jpg,"[27, 53]",579,en,Jaws 2,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,27.063,/zzGtimy1mUJYDjFjCmn2dpHREGV.jpg,1978-06-16,Jaws 2,False,5.9,943
22,False,/93wqWj6izOulKuONZ7rG7WxEjEe.jpg,[10749],621,en,Grease,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",15.083,/iMHdFTrCYhue74sBnXkdO39AJ3R.jpg,1978-07-07,Grease,False,7.4,4113
23,False,/Qgr34pvsP2b395CKn0YQJjba9n.jpg,[35],8469,en,Animal House,"At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.",9.176,/AuJkgAh7zAGsm7Oo3CGyDtYvzg0.jpg,1978-07-28,Animal House,False,7.1,803
24,False,/8fO36dTJeENJoY65kfip4ueDYui.jpg,"[28, 35]",16214,en,Hooper,"Legendary stunt man, Sonny Hooper remains one of the top men in his field, but due to too many stressful impacts to the spine and the need to pop pain killers several times a day, he knows he should get out of the industry before he ends up permanently disabled.",6.088,/avUeUtx98iNd0hw4CzAl53bhDwD.jpg,1978-07-28,Hooper,False,6.2,54
25,False,/vCD9mRgSY4HuoSowm8JO4tm2mhj.jpg,[27],923,en,Dawn of the Dead,"During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",11.882,/yK8BmYEvd0IPpDXL6zzlTA2geDf.jpg,1979-04-19,Dawn of the Dead,False,7.5,1000
26,False,/ojG57hVx69vhk5DDGPIcfyRR55I.jpg,"[18, 10752]",11778,en,The Deer Hunter,"A group of working-class friends decides to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",15.666,/slNJESItHPqp1CENEJQUPw8d7WE.jpg,1978-12-08,The Deer Hunter,False,8.0,1852
27,False,/sf1TBsRrZUFqSs5tCDBxM9RFfjR.jpg,"[28, 35, 80, 53]",6081,en,Revenge of the Pink Panther,"Chief Inspector Jacques Clouseau is dead. At least that is what the world—and Charles Dreyfus—believe when a dead body is discovered in Clouseau's car after being shot off the road. Naturally, Clouseau knows differently and, taking advantage of not being alive, sets out to discover why an attempt was made on his life.",7.886,/rbSHQ2wslGEJHjN8Y7XpdKaihyR.jpg,1978-07-19,Revenge of the Pink Panther,False,6.6,197
28,False,/lC8giNQFuCI4E2uTlOW2NhMmawd.jpg,[35],35976,en,The End,"Wendell Lawson has only six months to live. Not wanting to endure his last few months of life waiting for the end, he decides to take matters into his own hands and enlists the help of a delusional mental patient to help him commit suicide.",2.989,/pCTbYidt1Euuu24e2KSM88gJa6N.jpg,1978-05-10,The End,False,5.8,19
29,False,/5e9CnlFmvIt2qo2SLETZ1Qcuh9G.jpg,[35],11455,en,Up in Smoke,"An unemployed pot-smoking slacker and amateur drummer, Anthony Stoner ditches his strict parents and hits the road, eventually meeting kindred spirit Pedro de Pacas. While the drug-ingesting duo is soon arrested for possession of marijuana, Anthony and Pedro get released on a technicality, allowing them to continue their many misadventures and ultimately compete in a rock band contest, where they perform the raucous tune ""Earache My Eye.""",11.481,/cBbgz13sfqRMgu2neJYKAJ0xmx5.jpg,1978-01-01,Up in Smoke,False,6.8,303
30,False,/7lsnS82c1RXklfZUpLxiVd2HdR1.jpg,"[80, 18]",11327,en,Midnight Express,"Billy Hayes is caught attempting to smuggle drugs out of Turkey. The Turkish courts decide to make an example of him, sentencing him to more than 30 years in prison. Hayes has two opportunities for release: the appeals made by his lawyer, his family, and the American government, or the ""Midnight Express"".",6.898,/vtXJf6DP2rk1yDx369MSAvwl9Cs.jpg,1978-10-06,Midnight Express,False,7.7,688
31,False,/8HqSxB9VLJkbRXRdlocbLq9wxwY.jpg,"[12, 16, 18, 14, 10751]",123,en,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,9.268,/1l3WpoF7TX9pOprX4XepCXjQXUV.jpg,1978-11-15,The Lord of the Rings,False,6.5,380
