,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
0,False,/55g7Kwkh5yIGGCrIUdp2Tcnkpt2.jpg,"[28, 12, 14, 878, 10751]",11940,en,Sinbad and the Eye of the Tiger,"Princess Farah refuses to marry Sinbad until Prince Kassim, her brother, is able to give his consent. However, the Prince's wicked stepmother, Queen Zenobia, has changed Kassim into a baboon in order to have her own son crowned as caliph. Sinbad, his crew, the Princess and the transformed Prince travel to a distant land, fighting every obstacle Zenobia places in their path, to seek the advice of a legendary wise man who can possibly tell how to end the spell.",6.814,/oahAmW8yKUhuF4IYJPz8f0AQoms.jpg,1977-08-12,Sinbad and the Eye of the Tiger,False,6.4,76
1,False,/ugKyJpzfNYVOXGRXKIVY76u6DxB.jpg,"[18, 12, 27]",12707,en,Orca: The Killer Whale,"After witnessing the killing of his mate and offspring at Captain Nolan's hands, a vengeful killer whale goes on a rampage in the fisherman's Newfoundland harbor. Under pressure from the villagers, Nolan, Rachel and Umilak sail after the great beast, who will meet them on its own turf.",6.473,/cpteeaEWlR5uEYtO47eksTHwTGj.jpg,1977-07-22,Orca: The Killer Whale,False,5.9,149
2,False,/wVLJ6dkdMt3SKePkBOpWgNqHklH.jpg,"[12, 53]",38985,en,Sorcerer,"Four men from different parts of the globe, all hiding from their pasts in the same remote South American town, agree to risk their lives transporting gallons of unstable nitroglycerin across dangerous jungle.",9.407,/iGDkhDPQKiA4ycpExU9kbDPW9QA.jpg,1977-06-24,Sorcerer,False,7.5,174
3,False,/8R3W1VKk0Uxd9YPClO0Xgq6j9Aa.jpg,"[16, 14, 878]",16220,en,Wizards,"In a post-apocalyptic future, humankind is destroyed and the fantastic races of ancient legend emerge to repopulate the earth. In fulfillment of an ancient prophesy twin sons -- wizards -- are born to a queen of the faeries: one good, the other aggressively evil. They are destined to collide in a war that will destroy the new earth. Blackwolf, the evil son, is a deformed mutant and is cast out of the community. He seeks to rediscover the ancient technologies of warfare and destruction in order to gain his revenge and subjugate the free peoples of the earth. Avatar, the good son, is human and seeks a passive life of non-aggression in order to avoid responsibility for the bloodshed and despair prophesied. Blackwolf's disastrous attempts to assassinate his brother compell Avatar to marshal forces against Blackwolf, leading to the ultimate confrontation.",6.902,/yL6IrU7PNIYPrd5fXexCHVwS3B5.jpg,1977-02-09,Wizards,False,6.5,84
4,False,/eMMDskrOnepuahAilFZ1hKhkDXM.jpg,"[28, 12, 878]",25763,en,Damnation Alley,A small group of survivors at a military installation who survived World War 3 attempt to drive across the desolate wasteland to where they hope more survivors are living. Hopefully their specially built vehicles will protect them against the freakish weather mutated plant and animal life and other dangers along the way.,3.3,/iHlGDgaw8jJCs5CUQ9oHuHdjqoH.jpg,1977-10-21,Damnation Alley,False,5.2,40
5,False,/2hUB03FXuG72Zsa4rlXVopEzokm.jpg,"[14, 27]",985,en,Eraserhead,"Henry Spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",10.079,/l8oAmU5swopsyWzTHpZtAK15Mrc.jpg,1977-03-19,Eraserhead,False,7.6,1091
6,False,/zRdG36iu4cYbGvqyHjnnScwkr0h.jpg,"[53, 27, 878]",49158,en,Tentacoli,"Several people disappear from and at the sea. Their bodies are found gnawed to the skeleton, even the marrow is missing. The scientists have no idea which animal could do such things. Dr. Turner begins to suspect that the company which builds a tunnel beneath the bay might have poisoned the environment and caused an octopus to mutate to giant dimensions...",4.954,/lJbYHfdoWGOAFCWCgOB9G4Xw50S.jpg,1977-06-15,Tentacles,False,4.4,35
7,False,/i8lyb818XNNGaXiL6qHSxVNodKy.jpg,[27],11906,it,Suspiria,"From the moment she arrives in Freiberg, Germany, to attend the prestigious Tanz Academy, American ballet-dancer Suzy Bannion senses that something horribly evil lurks within the walls of the age-old institution.",13.631,/qtHlaxwLIKuZCHjFaHa2IGYWe4C.jpg,1977-08-10,Suspiria,False,7.6,1227
8,False,/sPJmwvy9z5IpjdEXoYG6zxd7LO7.jpg,"[18, 27, 9648, 53]",72277,en,The Last Wave,"Australian lawyer David Burton agrees with reluctance to defend a group of aborigines charged with murdering one of their own. He suspects the victim was targeted for violating a tribal taboo, but the defendants deny any tribal association. Burton, plagued by apocalyptic visions of water, slowly realizes danger may come from his own involvement with the aborigines and their prophecies.",3.432,/jkfSa4iH5ECPTlcxgNBchZ2Jyvp.jpg,1978-10-06,The Last Wave,False,6.9,66
9,False,/ysw5qVk2H3UdwdaBqu8TJQHIyu6.jpg,"[53, 28]",56095,zh,鷹爪鐵布衫,"Hwang Jang Lee is a corrupt Ming guard who frames John Liu for murder. A wanted fugitive, John hides out with a teen who is an expert in the infamous Iron Armor technique, a technique that means the expert can withstand anything. However, Hwang is an expert in it as well as the Eagle Claw's. Can John stop Hwang before it's too late?",4.355,/dMZH0LsBUkuXIPCNwPSWjtBnwqg.jpg,1998-01-01,The Invincible Armour,False,7.4,8
