,Unnamed: 0,adult,genre_ids,id,original_language,original_title,overview,popularity,release_date,title,video,vote_average,vote_count,violent_words,peaceful_words,violence_rating,violent,violence_classification
0,0,FALSE,"[28, 12, 878]",11,en,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,54.373,5/25/77,Star Wars,FALSE,8.2,12036,0,1,-1,FALSE,violent
11,11,FALSE,"[18, 14, 27, 53]",11586,en,Exorcist II: The Heretic,"Bizarre nightmares plague Regan MacNeil four years after her possession and exorcism. Has the demon returned? And if so, can the combined faith and knowledge of a Vatican investigator and a hypnotic research specialist free her from its grasp?",10.399,6/17/77,Exorcist II: The Heretic,FALSE,4.5,274,0,0,0,FALSE,violent
20,20,FALSE,"[28, 12, 878]",1924,en,Superman,"Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane. Clark must summon his superhero alter-ego when the nefarious Lex Luthor launches a plan to take over the world.",17.771,12/14/78,Superman,FALSE,7,1971,0,0,0,FALSE,neutral
21,21,FALSE,"[27, 53]",579,en,Jaws 2,Police chief Brody must protect the citizens of Amity after a second monstrous shark begins terrorizing the waters.,17.809,6/16/78,Jaws 2,FALSE,5.9,943,0,0,0,FALSE,violent
22,22,FALSE,[10749],621,en,Grease,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",21.116,7/7/78,Grease,FALSE,7.4,4115,0,2,-2,FALSE,peaceful
31,31,FALSE,"[12, 16, 18, 14, 10751]",123,en,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,10.64,11/15/78,The Lord of the Rings,FALSE,6.5,380,1,0,1,TRUE,neutral
33,33,FALSE,"[28, 18, 27, 53]",10766,en,Damien: Omen II,"Since the sudden and highly suspicious death of his parents, 12-year-old Damien has been in the charge of his wealthy aunt and uncle (Lee Grant and William Holden). Widely feared to be the Antichrist, Damien relentlessly plots to seize control of his uncle's business empire - and the world. Meanwhile, anyone attempting to unravel the secrets of Damien's sinister past or fiendish future meets with a swift and cruel demise.",11.706,6/9/78,Damien: Omen II,FALSE,6.2,294,1,0,1,TRUE,violent
42,42,FALSE,"[12, 9648, 878]",152,en,Star Trek: The Motion Picture,"When a destructive space entity is spotted approaching Earth, Admiral Kirk resumes command of the Starship Enterprise in order to intercept, examine, and hopefully stop it.",14.112,12/6/79,Star Trek: The Motion Picture,FALSE,6.4,887,0,0,0,FALSE,neutral
43,43,FALSE,[18],12102,en,Kramer vs. Kramer,"Ted Kramer is a career man for whom his work comes before his family. His wife Joanna cannot take this anymore, so she decides to leave him. Ted is now faced with the tasks of housekeeping and taking care of himself and their young son Billy.",7.795,12/19/79,Kramer vs. Kramer,FALSE,7.5,1041,0,0,0,FALSE,peaceful
44,44,FALSE,"[27, 878]",348,en,Alien,"During its return to the earth, commercial spaceship Nostromo intercepts a distress signal from a distant planet. When a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. The entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",31.879,5/25/79,Alien,FALSE,8.1,7995,2,0,2,TRUE,violent
45,45,FALSE,"[12, 28, 53, 878]",9659,en,Mad Max,"In a postapocalyptic future, jaded cop Max Rockatansky (Mel Gibson) is ready to retire. But his world is shattered when a malicious gang murders his family as an act of retaliation, forcing a devastated Max to hit the open road seeking vengeance. As he travels the Australian outback's empty stretches of highway, he tours the bloodstained battlegrounds ruled by marauding bikers who feed on violence.",16.298,2/15/80,Mad Max,FALSE,6.7,2221,4,0,4,TRUE,violent
140,140,FALSE,"[28, 12]",87,en,Indiana Jones and the Temple of Doom,"After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees ÌÄå¢ÌâåÛÌâåÒ and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",19.91,5/23/84,Indiana Jones and the Temple of Doom,FALSE,7.2,5170,0,0,0,FALSE,neutral
149,149,FALSE,"[18, 10749]",1788,en,Footloose,"When teenager Ren and his family move from big-city Chicago to a small town in the West, he's in for a real case of culture shock.",9.93,2/17/84,Footloose,FALSE,6.6,1039,0,0,0,FALSE,peaceful
150,150,FALSE,"[28, 878, 53]",218,en,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",29.334,10/26/84,The Terminator,FALSE,7.5,7238,3,0,3,TRUE,violent
173,173,FALSE,"[35, 18]",2108,en,The Breakfast Club,"Five disparate high school students meet in Saturday detention, and discover they have a lot more in common than they thought.",13.178,2/15/85,The Breakfast Club,FALSE,7.8,4682,0,0,0,FALSE,peaceful
185,185,FALSE,"[28, 12, 18, 10749, 10751]",8856,en,The Karate Kid Part II,"Mr. Miyagi and Daniel take a trip to Okinawa to visit Mr. Miyagi's dying father. After arriving Mr. Miyagi finds he still has feelings for an old love. This stirs up trouble with an old rival who he originally left Okinawa to avoid. In the mean time, Daniel encounters a new love and also makes some enemies.",13.564,6/18/86,The Karate Kid Part II,FALSE,6.1,935,0,0,0,FALSE,neutral
190,190,FALSE,[35],9377,en,Ferris Bueller's Day Off,"A high school slacker pretends to be sick to skip school and have an exciting day off alongside his girlfriend and his best buddy through Chicago, while trying to outwit his obsessive school principal and his unconformited sister along the way.",13.398,6/11/86,Ferris Bueller's Day Off,FALSE,7.6,2593,0,0,0,FALSE,peaceful
424,424,FALSE,"[12, 16, 35, 10751]",9487,en,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",15.904,11/25/98,A Bug's Life,FALSE,6.9,5322,1,0,1,TRUE,peaceful
426,426,FALSE,"[12, 16, 10751]",10674,en,Mulan,"A tomboyish girl disguises herself as a young man so she can fight with the Imperial Chinese Army against the invading Huns. With help from wise-cracking dragon Mushu, Mulan just might save her country -- and win the heart of handsome Captain Li Shang.",24.062,6/18/98,Mulan,FALSE,7.9,5092,0,0,0,FALSE,neutral
427,427,FALSE,"[35, 14, 10751]",3050,en,Doctor Dolittle,"A successful physician and devoted family man, John Dolittle seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down!",12.722,6/22/98,Doctor Dolittle,FALSE,5.6,1718,1,0,1,TRUE,peaceful
